ID,predicted_price
PU-1,1.805297
PU-2,1.5905728
PU-3,2.6297803
PU-4,1.503802
PU-5,3.2849216
PU-6,1.5105344
PU-7,1.7812794
PU-8,1.8221519
PU-9,1.4298254
PU-10,1.4881364
PU-11,1.1635468
PU-12,3.4046404
PU-13,1.0061864
PU-14,1.6980981
PU-15,1.8242134
PU-16,1.0336741
PU-17,2.8085294
PU-18,2.7195973
PU-19,1.196652
PU-20,2.8403888
PU-21,1.793034
PU-22,1.5796622
PU-23,2.9862177
PU-24,1.5509112
PU-25,2.5118506
PU-26,1.9714392
PU-27,2.1223302
PU-28,1.63885
PU-29,2.5108333
PU-30,1.5683347
PU-31,3.8489316
PU-32,1.3101637
PU-33,2.6041467
PU-34,1.5472331
PU-35,1.5277796
PU-36,1.6218685
PU-37,1.8214041
PU-38,2.9346893
PU-39,2.416496
PU-40,2.221957
PU-41,1.6690048
PU-42,1.5016346
PU-43,1.4751551
PU-44,1.9967214
PU-45,1.7675067
PU-46,1.0524261
PU-47,1.5761161
PU-48,1.3882416
PU-49,0.94299865
PU-50,2.6034536
PU-51,2.4027612
PU-52,1.8188854
PU-53,2.1568358
PU-54,2.4507923
PU-55,1.1120046
PU-56,4.4369326
PU-57,2.9610264
PU-58,2.569141
PU-59,1.7089221
PU-60,2.4043548
PU-61,1.5151222
PU-62,1.1915135
PU-63,2.16126
PU-64,1.4108316
PU-65,6.3720365
PU-66,2.0182078
PU-67,1.8706385
PU-68,1.2257458
PU-69,1.4603412
PU-70,1.7886058
PU-71,1.6411897
PU-72,2.8141162
PU-73,1.3477958
PU-74,2.5887492
PU-75,1.8331226
PU-76,1.0698
PU-77,1.817691
PU-78,1.050095
PU-79,1.6874782
PU-80,1.2691392
PU-81,1.4022174
PU-82,1.5810066
PU-83,1.6410037
PU-84,2.3230186
PU-85,3.8946383
PU-86,1.2366189
PU-87,2.9570634
PU-88,1.3729868
PU-89,3.5197453
PU-90,3.3155224
PU-91,0.9700878
PU-92,1.1137481
PU-93,2.5761104
PU-94,1.5852462
PU-95,2.125309
PU-96,1.5336688
PU-97,1.4872646
PU-98,2.009685
PU-99,2.154796
PU-100,1.1362273
PU-101,1.4270077
PU-102,1.4081465
PU-103,1.4790543
PU-104,1.5010273
PU-105,2.301673
PU-106,1.4479206
PU-107,1.0599823
PU-108,1.5561757
PU-109,1.825679
PU-110,1.5252374
PU-111,1.4131851
PU-112,2.12112
PU-113,1.680924
PU-114,1.9674245
PU-115,1.7829835
PU-116,1.9244783
PU-117,1.7105987
PU-118,1.4356738
PU-119,1.1405126
PU-120,1.4591259
PU-121,1.3022081
PU-122,1.7995812
PU-123,2.741328
PU-124,2.101186
PU-125,1.7819628
PU-126,4.203766
PU-127,1.9298313
PU-128,1.717928
PU-129,1.6267844
PU-130,1.3485776
PU-131,2.2635734
PU-132,1.3094386
PU-133,2.2398198
PU-134,1.2159301
PU-135,2.1218011
PU-136,1.8568368
PU-137,1.5666839
PU-138,2.2740316
PU-139,1.4451665
PU-140,2.5858686
PU-141,3.5635602
PU-142,1.0124978
PU-143,1.9709493
PU-144,1.4510493
PU-145,1.8111368
PU-146,1.7995447
PU-147,1.7657404
PU-148,1.2173066
PU-149,1.4354736
PU-150,1.4767905
PU-151,1.0981485
PU-152,1.6409577
PU-153,2.4144883
PU-154,1.5792996
PU-155,2.463338
PU-156,1.6715425
PU-157,1.423727
PU-158,1.4897147
PU-159,4.891497
PU-160,1.613368
PU-161,0.9947018
PU-162,1.5306687
PU-163,1.1273991
PU-164,3.4662764
PU-165,5.1570506
PU-166,1.3525022
PU-167,1.5757023
PU-168,4.389787
PU-169,2.1672184
PU-170,1.1248132
PU-171,1.7879739
PU-172,1.9101918
PU-173,2.4075167
PU-174,1.5332175
PU-175,1.3634379
PU-176,1.9817218
PU-177,2.629231
PU-178,2.1118996
PU-179,1.6320785
PU-180,1.6325836
PU-181,1.0286126
PU-182,3.2322142
PU-183,1.7851787
PU-184,2.5011847
PU-185,1.7060404
PU-186,4.6249223
PU-187,2.0088544
